tract,City,Community_Name,Detailed_Name,call_counts,crime_counts,shelter_counts,Land.Area,lat,long,Shape.Area,Shape.Length,totUnshelt2017,totShelt2017,totHomeless2017,totUnshelt2016,totShelt2016,totHomeless2016
262802,Los Angeles,Pacific Palisades,Pacific Palisades Community Council,1,0,0,1.29,34.0458645,-118.5024565,0.000321623,0.111849987,17.058,0,17.058,43,0,43
264000,Los Angeles,Brentwood,Brentwood Community Council,0,0,0,0.72,34.0545499,-118.4815022,0.000182406,0.070823489,1.926,0,1.926,0,0,0
264102,Los Angeles,Brentwood,Brentwood Community Council,0,0,0,0.15,34.0595085,-118.4693771,3.87168E-05,0.029744135,0,0,0,4,0,4
264103,Los Angeles,Brentwood,Brentwood Community Council,0,0,0,0.09,34.0549771,-118.4662763,2.25099E-05,0.022807222,2.808,0,2.808,5,0,5
264301,Los Angeles,Brentwood,Brentwood Community Council,0,0,0,0.16,34.0509979,-118.4642912,4.10251E-05,0.026939824,15.562,0,15.562,16,0,16
264302,Los Angeles,Brentwood,Brentwood Community Council,0,0,0,0.65,34.0472018,-118.4768543,0.000165018,0.068843888,14.722,0,14.722,17,0,17
265100,Los Angeles,Westwood,Westwood NC,0,0,0,0.91,34.0737147,-118.4288483,0.000230715,0.073916413,2,0,2,0,0,0
265201,Los Angeles,Westwood,Westwood NC,0,0,0,0.17,34.0668274,-118.4364091,4.28542E-05,0.034698138,4.181,0,4.181,1,0,1
265202,Los Angeles,Westwood,Westwood NC,4,0,0,0.22,34.0619002,-118.4411825,5.61828E-05,0.036064801,38.181,0,38.181,37,0,37
265301,Los Angeles,Westwood,Westwood NC,0,0,0,0.62,34.0710687,-118.4454343,0.000155856,0.061414006,15.102,0,15.102,5,0,5
265303,Los Angeles,Westwood,Westwood NC,0,0,0,0.06,34.067274,-118.4534107,1.44538E-05,0.016554443,0,0,0,0,0,0
265304,Los Angeles,Westwood,Westwood NC,0,0,0,0.05,34.0677546,-118.451161,1.2792E-05,0.017223514,2.926,0,2.926,0,0,0
265305,Los Angeles,Westwood,Westwood NC,2,0,0,0.12,34.0626943,-118.4490226,3.03518E-05,0.029346839,11.116,0,11.116,7,0,7
265410,Los Angeles,Brentwood,Brentwood Community Council,0,0,0,0.22,34.066976,-118.4644168,5.49799E-05,0.04312593,1,0,1,0,0,0
265420,Los Angeles,Westwood,Westwood NC,0,0,0,0.28,34.0704417,-118.4594426,7.13695E-05,0.037055658,0,0,0,4,0,4
265510,Los Angeles,Westwood,Westwood NC,0,0,0,0.15,34.0564831,-118.4426278,3.74451E-05,0.025213998,12.585,0,12.585,13,0,13
265520,Los Angeles,Westwood,Westwood NC,14,1,0,0.3,34.0513698,-118.4423998,7.49425E-05,0.041214722,45.119,0,45.119,74,123,197
265601,Los Angeles,Westwood,Westwood NC,1,0,0,0.24,34.0558599,-118.4327259,6.08442E-05,0.034798361,16.127,0,16.127,0,0,0
265602,Los Angeles,Westwood,Westwood NC,0,0,0,0.13,34.0602409,-118.434157,3.28017E-05,0.028597892,2.591,0,2.591,0,0,0
265700,Los Angeles,Westwood,Westwood NC,1,0,0,0.48,34.0632,-118.4236856,0.000120418,0.046850617,5,0,5,3,0,3
267100,Los Angeles,Westside,Westside NC,0,0,0,0.43,34.0525736,-118.4245499,0.000107794,0.043435024,10.777,0,10.777,12,0,12
267200,Los Angeles,Westside,Westside NC,0,0,0,0.45,34.0456465,-118.4372057,0.000114958,0.04566006,39.989,0,39.989,68,0,68
267300,Los Angeles,West Los Angeles,West Los Angeles NC,9,2,0,0.17,34.045202,-118.4496946,4.19816E-05,0.026369068,41.658,0,41.658,21,0,21
267402,Los Angeles,West Los Angeles,West Los Angeles NC,0,0,0,0.16,34.042074,-118.4659262,4.18689E-05,0.027068937,16.872,0,16.872,10,0,10
267403,Los Angeles,West Los Angeles,West Los Angeles NC,0,0,0,0.09,34.0475447,-118.456577,2.39709E-05,0.023624889,4.926,120,124.926,4,120,124
267404,Los Angeles,West Los Angeles,West Los Angeles NC,0,0,0,0.11,34.0456314,-118.4605333,2.77721E-05,0.022140379,6.851,0,6.851,0,0,0
267501,Los Angeles,West Los Angeles,West Los Angeles NC,1,0,0,0.18,34.0413355,-118.4560691,4.431E-05,0.027650248,14.61,0,14.61,2,0,2
267502,Los Angeles,West Los Angeles,West Los Angeles NC,6,0,0,0.17,34.0375502,-118.4621616,4.24396E-05,0.027295055,28.059,0,28.059,24,0,24
267600,Los Angeles,West Los Angeles,West Los Angeles NC,1,1,0,0.49,34.0340912,-118.4524492,0.00012393,0.046702742,24.772,0,24.772,30,0,30
267700,Los Angeles,West Los Angeles,West Los Angeles NC,1,1,0,0.31,34.0387144,-118.4441611,7.93737E-05,0.036605528,17.389,0,17.389,17,0,17
267800,Los Angeles,Westside,Westside NC,2,0,1,0.44,34.03958,-118.4306811,0.000112388,0.046108649,20.595,169,189.595,9,103,112
267901,Los Angeles,Westside,Westside NC,0,0,0,0.43,34.056456,-118.4137159,0.00010933,0.045462861,0,0,0,1,0,1
267902,Los Angeles,Westside,Westside NC,0,0,0,0.3,34.0475522,-118.4201983,7.59691E-05,0.039622183,2.591,0,2.591,0,0,0
269000,Los Angeles,Westside,Westside NC,0,0,0,0.88,34.043325,-118.404305,0.000222955,0.088588853,11.166,0,11.166,10,0,10
269100,Los Angeles,Palms,South Robertson NC,2,0,0,0.32,34.0530704,-118.3948253,8.19499E-05,0.038036668,6.021,0,6.021,4,0,4
269300,Los Angeles,Westside,Westside NC,0,0,0,0.85,34.0444598,-118.4122005,0.00021562,0.061272611,3.591,0,3.591,10,0,10
269500,Los Angeles,Palms,South Robertson NC,0,0,0,0.54,34.0434085,-118.3938372,0.000136166,0.053044109,1.808,0,1.808,0,0,0
269601,Los Angeles,Palms,South Robertson NC,0,0,0,0.13,34.0418546,-118.3794518,3.25754E-05,0.022591417,14.516,0,14.516,5,0,5
269602,Los Angeles,Palms,South Robertson NC,0,0,0,0.11,34.0432688,-118.384482,2.83715E-05,0.021854798,1.808,0,1.808,0,0,0
269700,Los Angeles,Palms,South Robertson NC,2,0,0,0.35,34.036336,-118.387153,8.76291E-05,0.045631748,16.073,0,16.073,2,0,2
269800,Los Angeles,Palms,South Robertson NC,5,0,0,0.18,34.032045,-118.3968111,4.55972E-05,0.037277555,18.277,0,18.277,15,0,15
269903,Los Angeles,Palms,Palms NC,0,0,0,0.11,34.0209031,-118.4064763,2.77036E-05,0.022996251,15.463,0,15.463,19,0,19
269904,Los Angeles,Palms,Palms NC,0,0,0,0.13,34.027809,-118.411879,3.29319E-05,0.027174504,28.217,0,28.217,12,0,12
269905,Los Angeles,Palms,Palms NC,0,0,0,0.09,34.0218574,-118.4018807,2.32337E-05,0.025090622,23.664,0,23.664,22,0,22
269906,Los Angeles,Palms,Palms NC,0,0,0,0.08,34.0249593,-118.4031746,2.03029E-05,0.022616381,10.11,0,10.11,3,0,3
269907,Los Angeles,Palms,Palms NC,0,0,0,0.11,34.0280469,-118.4067099,2.70197E-05,0.023593719,13.371,0,13.371,25,0,25
270100,Los Angeles,Palms,Palms NC,7,0,0,0.22,34.0273439,-118.3959685,5.57145E-05,0.04136458,38.858,0,38.858,6,0,6
270200,Los Angeles,Palms,South Robertson NC,4,1,0,0.29,34.0328855,-118.3797742,7.46033E-05,0.045740019,62.831,4,66.831,2,6,8
270300,Los Angeles,Mid City,Mid City NC,6,2,0,0.37,34.0405392,-118.3718243,9.53388E-05,0.041856293,39.305,0,39.305,31,0,31
271100,Los Angeles,Westside,Westside NC,10,0,0,0.31,34.0339126,-118.4268131,7.85252E-05,0.045232141,37.363,0,37.363,13,0,13
271200,Los Angeles,Mar Vista,Mar Vista NC,5,0,0,0.2,34.0313917,-118.4420039,5.11952E-05,0.043558419,27.38,0,27.38,34,0,34
271300,Los Angeles,Mar Vista,Mar Vista NC,1,0,0,0.56,34.0259653,-118.4413454,0.000142768,0.060006793,19.4,0,19.4,7,0,7
271400,Los Angeles,Mar Vista,Mar Vista NC,0,0,0,0.44,34.0100779,-118.4473996,0.000112143,0.044324139,6.285,0,6.285,7,0,7
271500,Los Angeles,Mar Vista,Mar Vista NC,0,0,0,0.35,34.0166822,-118.4382414,8.88264E-05,0.039647508,1.591,3,4.591,10,7,17
271600,Los Angeles,Mar Vista,Mar Vista NC,0,0,0,0.35,34.0210549,-118.4304607,8.82011E-05,0.038484244,4.095,0,4.095,9,0,9
271701,Los Angeles,Mar Vista,Mar Vista NC,1,0,0,0.38,34.027115,-118.4192255,9.73272E-05,0.042235918,1,0,1,5,0,5
271702,Los Angeles,Mar Vista,Mar Vista NC,7,0,0,0.27,34.0251282,-118.4259054,6.91437E-05,0.040033039,37.865,0,37.865,8,0,8
271801,Los Angeles,Mar Vista,Mar Vista NC,5,0,0,0.19,34.0167232,-118.4182534,4.71217E-05,0.029137479,5.616,0,5.616,14,0,14
271802,Los Angeles,Palms,Palms NC,0,0,0,0.22,34.0198929,-118.4124738,5.63587E-05,0.030646446,9.302,0,9.302,5,0,5
271901,Los Angeles,Mar Vista,Mar Vista NC,4,0,0,0.24,34.0128357,-118.4246723,6.39589E-05,0.032366554,1,0,1,21,0,21
271902,Los Angeles,Mar Vista,Mar Vista NC,0,0,0,0.36,34.0096289,-118.4316771,9.01977E-05,0.038565618,0,0,0,36,0,36
272100,Los Angeles,Mar Vista,Mar Vista NC,0,0,0,0.46,34.0037101,-118.4422881,0.000117037,0.045294338,1.808,0,1.808,12,0,12
272201,Los Angeles,Mar Vista,Mar Vista NC,0,0,0,0.1,34.0003832,-118.4341265,2.53723E-05,0.020315369,29.767,5,34.767,12,2,14
272202,Los Angeles,Mar Vista,Mar Vista NC,0,0,0,0.12,33.9975533,-118.4391488,3.02086E-05,0.026882989,20.999,0,20.999,16,0,16
