Area.Name,Victim.Age,Victim.Sex,Victim.Descent,latitude,longitude,CRIME DESCRIPTION SHORT,GENERAL DESCRIPTION,Hour,Weekday,Month,DayPartition
OLYMPIC,33,M,W,34.0618,-118.2929,AGGRAVATED ASSAULT,ASSAULT,0,5,9,1
CENTRAL,52,F,W,34.0423,-118.2452,SIMPLE ASSAULT,ASSAULT,1,6,9,1
CENTRAL,44,M,H,34.0349,-118.263,ROBBERY,THEFT,10,6,9,2
CENTRAL,48,M,B,34.0396,-118.2451,AGGRAVATED ASSAULT,ASSAULT,17,6,9,3
CENTRAL,53,F,B,34.0449,-118.2458,OTHER THEFT,THEFT,13,6,9,3
NORTH HOLLYWOOD,46,F,H,34.2012,-118.4182,SIMPLE ASSAULT,ASSAULT,15,6,9,3
NORTH HOLLYWOOD,20,M,H,34.2045,-118.392,SIMPLE ASSAULT,ASSAULT,16,6,9,3
MISSION,38,M,W,34.2992,-118.4517,AGGRAVATED ASSAULT,ASSAULT,23,6,9,4
OLYMPIC,34,F,H,34.0598,-118.2998,SIMPLE ASSAULT,ASSAULT,18,6,9,4
TOPANGA,45,F,W,34.2198,-118.6003,PETTY THEFT,THEFT,5,6,9,2
CENTRAL,42,F,B,34.0437,-118.2455,VANDALISM,VANDALISM,5,7,9,2
CENTRAL,34,M,B,34.0444,-118.2407,ROBBERY,THEFT,12,7,9,3
HARBOR,48,F,W,33.7578,-118.2923,PETTY THEFT,THEFT,19,7,9,4
NEWTON,65,M,B,34.0277,-118.2574,ROBBERY,THEFT,3,7,9,1
NEWTON,63,M,B,34.0011,-118.2805,SIMPLE ASSAULT,ASSAULT,15,7,9,3
NORTH HOLLYWOOD,75,M,B,34.1444,-118.3956,PETTY THEFT,THEFT,12,7,9,3
OLYMPIC,28,M,H,34.0617,-118.2842,SIMPLE ASSAULT,ASSAULT,13,7,9,3
CENTRAL,65,M,B,34.0449,-118.2458,ROBBERY,THEFT,18,1,9,4
CENTRAL,59,M,B,34.0474,-118.2531,PETTY THEFT,THEFT,9,1,9,2
CENTRAL,38,F,B,34.048,-118.2438,SIMPLE ASSAULT,ASSAULT,7,1,9,2
RAMPART,56,M,B,34.0542,-118.2717,ROBBERY,THEFT,17,1,9,3
HOLLYWOOD,52,F,B,34.0944,-118.319,PETTY THEFT,THEFT,19,1,9,4
NEWTON,40,F,B,33.986,-118.2794,AGGRAVATED ASSAULT,ASSAULT,14,1,9,3
SOUTHEAST,22,M,B,33.9332,-118.2473,AGGRAVATED ASSAULT,ASSAULT,14,1,9,3
CENTRAL,42,M,H,34.0421,-118.2469,SIMPLE ASSAULT,ASSAULT,2,2,9,1
CENTRAL,39,M,B,34.0433,-118.2488,AGGRAVATED ASSAULT,ASSAULT,13,2,9,3
CENTRAL,27,M,B,34.0492,-118.2391,PETTY THEFT,THEFT,18,2,9,4
RAMPART,52,M,H,34.0573,-118.2763,AGGRAVATED ASSAULT,ASSAULT,18,2,9,4
RAMPART,60,M,H,34.0898,-118.2917,ROBBERY,THEFT,11,2,9,3
HARBOR,15,F,H,33.7501,-118.3092,"RAPE, FORCIBLE",SEXUAL ASSAULT,3,2,9,1
VAN NUYS,56,F,W,34.1877,-118.4465,PETTY THEFT,THEFT,15,2,9,3
NORTHEAST,28,M,W,34.0917,-118.2741,SIMPLE ASSAULT,ASSAULT,23,2,9,4
NORTH HOLLYWOOD,44,M,W,34.17,-118.3777,PETTY THEFT,THEFT,21,2,9,4
CENTRAL,60,F,W,34.0417,-118.2443,SIMPLE ASSAULT,ASSAULT,14,3,9,3
CENTRAL,56,F,W,34.0479,-118.2612,SIMPLE ASSAULT,ASSAULT,14,3,9,3
RAMPART,49,M,H,34.0707,-118.2795,AGGRAVATED ASSAULT,ASSAULT,20,3,9,4
HARBOR,54,F,W,33.7324,-118.2879,VANDALISM,VANDALISM,0,3,9,1
HOLLYWOOD,44,M,B,34.0926,-118.3266,AGGRAVATED ASSAULT,ASSAULT,7,3,9,2
WEST LA,26,F,W,34.037,-118.4351,SEXUAL ASSAULT,SEXUAL ASSAULT,17,3,9,3
CENTRAL,39,F,W,34.0417,-118.2443,"RAPE, FORCIBLE",SEXUAL ASSAULT,13,4,9,3
HOLLENBECK,35,M,H,34.0609,-118.2052,CRIMINAL THREATS,OTHER MISCELLANEOUS CRIME,14,4,9,3
VAN NUYS,59,M,B,34.1767,-118.4465,SIMPLE ASSAULT,ASSAULT,16,4,9,3
FOOTHILL,21,M,B,34.2754,-118.3904,AGGRAVATED ASSAULT,ASSAULT,3,4,9,1
FOOTHILL,23,M,H,34.2309,-118.3727,AGGRAVATED ASSAULT,ASSAULT,23,4,9,4
CENTRAL,40,F,H,34.0453,-118.2443,SIMPLE ASSAULT,ASSAULT,17,5,9,3
RAMPART,59,F,H,34.0565,-118.2768,SIMPLE ASSAULT,ASSAULT,12,5,9,3
RAMPART,22,M,H,34.0565,-118.2768,SIMPLE ASSAULT,ASSAULT,5,5,9,2
HOLLENBECK,47,F,H,34.0802,-118.1848,PETTY THEFT,THEFT,20,5,9,4
VAN NUYS,46,M,H,34.1766,-118.4589,AGGRAVATED ASSAULT,ASSAULT,9,5,9,2
WEST VALLEY,55,M,W,34.2048,-118.5273,SIMPLE ASSAULT,ASSAULT,10,5,9,2
NEWTON,24,M,B,33.9956,-118.2783,SIMPLE ASSAULT,ASSAULT,19,5,9,4
OLYMPIC,28,M,B,34.0637,-118.2857,ROBBERY,THEFT,1,5,9,1
TOPANGA,47,F,W,34.201,-118.6059,PETTY THEFT,THEFT,22,5,9,4
CENTRAL,58,M,B,34.0421,-118.2469,SIMPLE ASSAULT,ASSAULT,22,6,9,4
CENTRAL,44,F,B,34.0428,-118.2461,SIMPLE ASSAULT,ASSAULT,23,6,9,4
CENTRAL,58,M,H,34.0439,-118.2479,PETTY THEFT,THEFT,22,6,9,4
WEST LA,43,M,O,34.0625,-118.447,SIMPLE ASSAULT,ASSAULT,12,6,9,3
VAN NUYS,28,F,B,34.1817,-118.44,SIMPLE ASSAULT,ASSAULT,4,6,9,2
NORTHEAST,42,M,W,34.1367,-118.2713,AGGRAVATED ASSAULT,ASSAULT,12,6,9,3
NORTHEAST,34,F,H,34.1117,-118.2469,AGGRAVATED ASSAULT,ASSAULT,23,6,9,4
NORTHEAST,51,M,H,34.1117,-118.2469,AGGRAVATED ASSAULT,ASSAULT,23,6,9,4
TOPANGA,28,M,W,34.201,-118.6103,SIMPLE ASSAULT,ASSAULT,15,6,9,3
TOPANGA,52,F,W,34.1907,-118.6234,SIMPLE ASSAULT,ASSAULT,6,6,9,2
OLYMPIC,34,F,O,34.0672,-118.3091,SIMPLE ASSAULT,ASSAULT,2,6,9,1
OLYMPIC,22,F,H,34.0526,-118.2989,BURGLARY,THEFT,1,6,9,1
HARBOR,NA,F,W,33.7433,-118.2923,CHILD ABANDONMENT,CHILD ABUSE,11,7,9,3
VAN NUYS,31,M,W,34.1704,-118.4389,AGGRAVATED ASSAULT,ASSAULT,12,7,9,3
NEWTON,27,M,H,34.0215,-118.2755,AGGRAVATED ASSAULT,ASSAULT,5,7,9,2
NEWTON,28,M,H,34.0286,-118.2622,AGGRAVATED ASSAULT,ASSAULT,9,7,9,2
NEWTON,39,M,H,33.993,-118.2565,AGGRAVATED ASSAULT,ASSAULT,11,7,9,3
