"","tract","X","Year","City","LACity","Community_Name","Detailed_Name","SPA","SD","CD","ca_ssd","ca_sad","us_cd","DemogSurvCt","YouthSurvCt","SheltHmisCt","ShelterCountAny","StreetCountAny","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","FamCarHH","FamVanHH","FamCamperHH","FamTentHH","FamEncampHH","FamCarPeople","FamVanPeople","FamCamperPeople","FamTentPeople","FamEncampPeople","IndCarPeople","IndVanPeople","IndCamperPeople","IndTentPeople","IndEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople","call_counts","crime_counts","shelter_counts","Area.in.square.miles...Land.area","density","lat","long","Population","Housing.units","Total.Square.Miles","Water.Area","Land.Area","Population.Density","Housing.Density"
"827",262100,827,2017,"Los Angeles",1,"Bel Air-Beverly Crest","Bel Air-Beverly Crest NC",5,3,5,26,50,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,34.1085369,-118.4570806,"3586","1496",3.39,0.01,3.38,"1,062.20","443.1"
"828",262200,828,2017,"Los Angeles",1,"Bel Air-Beverly Crest","Bel Air-Beverly Crest NC",5,3,5,26,50,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.31,0,34.1017214,-118.4698011,"4675","1960",3.31,0,3.31,"1,413.90","592.8"
"829",262301,829,2017,"Los Angeles",1,"Brentwood","Brentwood Community Council",5,3,11,26,50,33,0,0,0,0,1,0,0,0,1,1,0,0,0,1.591,1.808,0,0,0,0.051,0.022,0,0,0,0.151,0.075,0,0,0,1.439,1.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,0,0,0,0,3.399,0,0,0,5.04,0.674404762,34.0918293,-118.4912444,"2744","957",5.04,0,5.04,"544.2","189.8"
"830",262302,830,2017,"Los Angeles",1,"Brentwood","Brentwood Community Council",5,3,11,26,50,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,34.0751025,-118.4768353,"2818","1300",1.18,0,1.18,"2,387.10","1,101.20"
"831",262303,831,2017,"Los Angeles",1,"Brentwood","Brentwood Community Council",5,3,11,26,50,33,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.808,0,0,0,0,0.022,0,0,0,0,0.075,0,0,0,0,1.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.808,0,0,0,0,1.808,0,0,0,1.01,1.79009901,34.0660696,-118.4868492,"3290","1332",1.01,0,1.01,"3,259.40","1,319.60"
"832",262400,832,2017,"Los Angeles",1,"Brentwood","Brentwood Community Council",5,3,11,26,50,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,34.0918093,-118.508627,"3233","1342",4.35,0,4.35,"743.1","308.4"
"833",262501,833,2017,"Los Angeles",1,"Pacific Palisades","Pacific Palisades Community Council",5,3,11,26,50,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,34.0503509,-118.5202383,"3662","1508",0.63,0,0.63,"5,800.50","2,388.60"
"834",262601,834,2017,"Los Angeles",1,"Pacific Palisades","Pacific Palisades Community Council",5,3,11,26,50,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,34.0737773,-118.5555249,"3660","1459",1.43,0,1.43,"2,567.00","1,023.30"
"835",262604,835,2017,"Los Angeles",1,"Pacific Palisades","Pacific Palisades Community Council",5,3,11,26,50,33,0,0,0,0,1,10,0,0,0,0,0,4,5,0,0,0,6.811,9.628,0,0,0,0.023,0.028,0,0,0,0.086,0.103,0,0,0,6.725,9.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.439,0,0,0,0,26.439,0,0,0,2.19,12.07260274,34.0511084,-118.5485779,"6092","2661",2.32,0.13,2.19,"2,781.30","1,214.90"
"836",262704,836,2017,"Los Angeles",1,"Pacific Palisades","Pacific Palisades Community Council",5,3,11,26,50,33,1,0,0,0,1,4,1,4,12,0,2,0,6,19.088,0,4.19,0,11.553,0.614,0,0.063,0,0.034,1.817,0,0.222,0,0.124,17.27,0,3.967,0,11.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.831,0,0,0,0,42.831,0,0,0,0.75,57.108,34.042438,-118.5401653,"3567","1784",0.96,0.2,0.75,"4,745.50","2,373.40"
"837",262706,837,2017,"Los Angeles",1,"Pacific Palisades","Pacific Palisades Community Council",5,3,11,26,50,33,0,0,0,0,1,11,0,0,0,0,1,1,0,0,0,2.095,1.703,0,0,0,0.032,0.006,0,0,0,0.111,0.021,0,0,0,1.984,1.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.798,0,0,0,0,14.798,0,0,0,0.89,16.62696629,34.0350108,-118.5245644,"3563","1428",1.09,0.2,0.89,"4,005.40","1,605.30"
